DOCUMENT NAME,DOCUMENT ID,DESCRIPTION,DOCUMENT IS IN TRASH,FILE SIZE,CREATED DATE,LOCATION,LOCATION ID,LOCATION PATH
Archief.zip,05191E38-B356-EB11-9C3F-30E17160D15B,,FALSE,1.0 GB,14/01/2021 22:55,Overdracht SuperSky,6D4171CA-AF56-EB11-9C3F-30E17160D15B,/FB/1. Portefeuille/3. Ongoing/ASML/ASML Onboarding Journey Video/Journey/Overdracht SuperSky/
FWD TH!NK Blueprint_part 2.zip,0F6E3F32-7A5C-EA11-9C35-30E17160D15B,,FALSE,1.0 GB,02/03/2020 12:37,Primark,4406CC1A-45A3-E911-9C28-30E17160D15B,/FB/1. Portefeuille/4. Finished/2019/Primark/
Loyens & Loeff Drawing.mov,80E0F027-FC48-EA11-9C35-30E17160D15B,,FALSE,1.0 GB,06/02/2020 17:17,Loyens & Loeff,8CCB4E44-4CFB-E511-97DB-D89D67132A6D,/FB/1. Portefeuille/2. Prospects/Loyens _ Loeff/
FB&Signify_pitch_apr19.pptx,8364A584-A662-E911-9C25-30E17160D15B,,FALSE,1.0 GB,19/04/2019 15:24,1. Acquisitie,E071A279-A657-E911-9C25-30E17160D15B,/FB/4. Intern/03. Blikken/1. Blikken/14. OpenUp/1. OpenUp/1. Acquisitie/
FrisseBlikken_HUB_EmpoyerBranding_20_12_18_V3 (Copy 1).mp4,85DC976C-4651-E911-9C22-30E17160D15B,,FALSE,1.0 GB,28/03/2019 11:44,02. HUB1 - EB,21994F2A-3D51-E911-9C22-30E17160D15B,/FB/4. Intern/05. Communicatie/0. Marketingplannen Frisse Blikken/2019/TA_D Campagne/02. HUB1 - EB/
HUB_EmpoyerBranding_20_12_18_V3 (Copy 1).mp4,B07995F1-4551-E911-9C22-30E17160D15B,,FALSE,1.0 GB,28/03/2019 11:40,02. HUB1 - EB,21994F2A-3D51-E911-9C22-30E17160D15B,/FB/4. Intern/05. Communicatie/0. Marketingplannen Frisse Blikken/2019/TA_D Campagne/02. HUB1 - EB/
HUB_EmpoyerBranding (Copy 1).mp4,D2540ED0-4551-E911-9C22-30E17160D15B,,FALSE,1.0 GB,28/03/2019 11:39,02. HUB1 - EB,21994F2A-3D51-E911-9C22-30E17160D15B,/FB/4. Intern/05. Communicatie/0. Marketingplannen Frisse Blikken/2019/TA_D Campagne/02. HUB1 - EB/
FrisseBlikken_HUB_EmpoyerBranding_20_12_18_V3.mp4,C62656F5-3E51-E911-9C22-30E17160D15B,,FALSE,1.0 GB,28/03/2019 11:19,02. HUB1 - EB,21994F2A-3D51-E911-9C22-30E17160D15B,/FB/4. Intern/05. Communicatie/0. Marketingplannen Frisse Blikken/2019/TA_D Campagne/02. HUB1 - EB/
HUB_EmpoyerBranding.mp4,F2958743-3E51-E911-9C22-30E17160D15B,,FALSE,1.0 GB,28/03/2019 10:45,02. HUB1 - EB,21994F2A-3D51-E911-9C22-30E17160D15B,/FB/4. Intern/05. Communicatie/0. Marketingplannen Frisse Blikken/2019/TA_D Campagne/02. HUB1 - EB/
HUB_EmpoyerBranding_20_12_18_V3.mp4,4261A22D-3E51-E911-9C22-30E17160D15B,,FALSE,1.0 GB,28/03/2019 10:45,02. HUB1 - EB,21994F2A-3D51-E911-9C22-30E17160D15B,/FB/4. Intern/05. Communicatie/0. Marketingplannen Frisse Blikken/2019/TA_D Campagne/02. HUB1 - EB/
